# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 17:37:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bern_1.data.json
# init = 2 (Default)
# random
#   seed = 73782
# output
#   file = C:\Users\User\Documents\Data Analytics 2022 Lab\bern_1-20220306183720_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.928024
# Diagonal elements of inverse mass matrix:
# 0.490316
-8.6177,0.935419,0.928024,1,1,0,8.67915,0.167218
-7.8475,0.917312,0.928024,1,3,0,9.20356,0.4245
-8.82011,0.736657,0.928024,1,1,0,8.82184,0.553837
-8.32775,0.759968,0.928024,1,3,0,10.3372,0.190085
-8.08078,1,0.928024,1,1,0,8.32694,0.215508
-7.97025,1,0.928024,1,1,0,8.1114,0.22991
-9.20817,0.701558,0.928024,1,3,0,10.2061,0.587222
-7.75624,1,0.928024,1,3,0,8.7687,0.401328
-7.83706,0.975528,0.928024,1,1,0,7.85996,0.422139
-7.83706,0.780481,0.928024,1,1,0,8.38263,0.422139
-8.35292,0.937925,0.928024,2,3,0,8.35297,0.187857
-7.64296,1,0.928024,2,3,0,8.25559,0.346736
-7.66561,0.981296,0.928024,2,3,0,7.74423,0.301996
-8.15301,0.897168,0.928024,1,3,0,8.19319,0.207281
-7.67942,0.984934,0.928024,2,3,0,8.27208,0.295072
-7.63818,0.999396,0.928024,2,3,0,7.6824,0.333874
-7.63818,0.688645,0.928024,1,3,0,8.97285,0.333874
-7.64452,0.998463,0.928024,2,3,0,7.64789,0.348788
-7.79551,0.955878,0.928024,1,3,0,7.86082,0.260355
-7.90337,0.974615,0.928024,1,1,0,7.92283,0.240097
-7.71871,0.977572,0.928024,2,3,0,8.11158,0.280376
-7.68832,1,0.928024,2,3,0,7.71859,0.291246
-9.72812,0.588744,0.928024,1,3,0,10.1924,0.111224
-8.32299,0.968977,0.928024,1,3,0,9.49165,0.190512
-8.35755,0.99331,0.928024,1,1,0,8.50231,0.187454
-8.26584,0.888054,0.928024,1,3,0,9.5334,0.493378
-8.01386,1,0.928024,1,1,0,8.26459,0.456398
-8.01386,0.957945,0.928024,1,1,0,8.2003,0.456398
-7.82174,1,0.928024,1,1,0,7.98363,0.418565
-7.88489,0.980639,0.928024,1,1,0,7.92955,0.432517
-7.89098,0.998108,0.928024,1,1,0,7.96461,0.433765
-9.41532,0.531927,0.928024,1,3,0,11.0087,0.123728
-7.63825,0.944823,0.928024,1,3,0,9.54142,0.335043
-7.63825,0.736335,0.928024,1,3,0,8.73806,0.335043
-7.66266,0.839494,0.928024,2,3,0,8.53926,0.3037
-8.32699,0.857364,0.928024,1,3,0,8.4049,0.190153
-8.25297,1,0.928024,1,1,0,8.43256,0.197042
-7.87109,0.930217,0.928024,2,3,0,8.78292,0.429631
-7.66147,0.990039,0.928024,1,3,0,7.92274,0.304414
-7.64024,0.957002,0.928024,2,3,0,7.9213,0.32461
-7.74013,0.976351,0.928024,1,3,0,7.75003,0.274005
-7.8338,0.958553,0.928024,2,3,0,8.10022,0.252451
-7.69688,0.872356,0.928024,2,3,0,8.71761,0.38094
-7.82794,0.933569,0.928024,2,3,0,8.08045,0.2536
-7.63817,0.998792,0.928024,2,3,0,7.83005,0.333642
-7.64001,0.97438,0.928024,2,3,0,7.77371,0.34162
-7.80472,0.970741,0.928024,2,3,0,7.8397,0.258363
-7.68295,0.970044,0.928024,2,3,0,8.01383,0.374816
-7.63821,0.997679,0.928024,2,3,0,7.69619,0.334499
-8.66194,0.749185,0.928024,1,3,0,8.9711,0.164178
-8.42943,0.859217,0.928024,1,3,0,10.2059,0.513415
-7.96286,1,0.928024,1,1,0,8.32584,0.447523
-7.90849,1,0.928024,1,1,0,8.01856,0.437275
-8.99265,0.710696,0.928024,1,1,0,8.9979,0.569344
-8.72067,1,0.928024,2,3,0,9.19959,0.544328
-7.65361,1,0.928024,1,3,0,8.65447,0.309716
-7.64703,1,0.928024,1,1,0,7.65314,0.315391
-8.01411,0.927791,0.928024,2,3,0,8.16189,0.223887
-9.79077,0.858281,0.928024,2,3,0,9.97815,0.629253
-8.53602,1,0.928024,1,1,0,9.5253,0.525332
-8.16333,1,0.928024,1,1,0,8.52659,0.479438
-9.19963,0.721515,0.928024,1,1,0,9.25163,0.586541
-7.64104,1,0.928024,1,3,0,8.9799,0.323081
-7.71928,0.981222,0.928024,2,3,0,7.76689,0.280194
-7.78053,0.98472,0.928024,1,1,0,7.79082,0.263743
-7.71628,1,0.928024,2,3,0,7.77362,0.281153
-7.66733,1,0.928024,1,1,0,7.70494,0.301047
-7.71411,0.98779,0.928024,1,1,0,7.71577,0.28186
-7.64553,0.99505,0.928024,1,3,0,7.73438,0.349973
-7.69626,0.988805,0.928024,1,3,0,7.69645,0.380686
-9.12162,0.700541,0.928024,1,3,0,9.16206,0.580223
-8.13415,1,0.928024,2,3,0,8.85893,0.475225
-7.75281,0.959835,0.928024,1,3,0,8.3899,0.270575
-7.67425,0.805351,0.928024,2,3,0,9.1653,0.297499
-7.67425,0.824209,0.928024,1,3,0,8.4173,0.297499
-8.6536,0.795341,0.928024,1,3,0,8.78805,0.164743
-8.07621,1,0.928024,1,1,0,8.54869,0.216056
-8.08855,0.997362,0.928024,1,1,0,8.18962,0.214584
-8.14513,0.98812,0.928024,1,1,0,8.237,0.208141
-7.97922,1,0.928024,2,3,0,8.15511,0.22864
-7.70645,0.858043,0.928024,2,3,0,9.04695,0.384747
-9.62947,0.433249,0.928024,2,3,0,11.5329,0.618395
-9.16465,1,0.928024,2,3,0,9.88328,0.583731
-8.02925,1,0.928024,1,1,0,8.82723,0.458958
-10.3754,0.640751,0.928024,2,7,0,10.3755,0.090305
-9.59283,0.951404,0.928024,2,3,0,11.9161,0.116403
-8.55425,1,0.928024,1,1,0,9.43633,0.17176
-7.95592,0.962709,0.928024,2,3,0,9.04658,0.231982
-9.26059,0.897482,0.928024,2,3,0,9.3724,0.591352
-7.6557,1,0.928024,1,3,0,9.12627,0.308195
-8.40908,0.856099,0.928024,2,3,0,8.72339,0.511046
-8.86252,0.866841,0.928024,1,1,0,9.03416,0.55776
-7.82695,1,0.928024,1,1,0,8.53767,0.419796
-7.89728,0.922584,0.928024,2,3,0,8.30857,0.241096
-8.00561,0.991908,0.928024,2,3,0,8.0459,0.22502
-7.82565,1,0.928024,1,1,0,7.97945,0.254054
-8.63706,0.853943,0.928024,2,3,0,9.14355,0.165875
-8.62498,1,0.928024,1,1,0,8.84207,0.166711
-8.56851,1,0.928024,2,3,0,8.79836,0.170719
-9.12473,0.9114,0.928024,1,1,0,9.1924,0.137256
-11.7438,0.77718,0.928024,2,3,0,12.8423,0.0600835
-8.10894,1,0.928024,2,3,0,11.5868,0.212206
-10.6836,0.797847,0.928024,2,3,0,10.9948,0.681329
-7.9831,1,0.928024,1,3,0,9.84643,0.451121
-7.69883,1,0.928024,1,1,0,7.89658,0.381737
-7.96588,0.921823,0.928024,1,1,0,7.96623,0.448068
-7.79552,1,0.928024,1,1,0,7.93759,0.412093
-8.04254,0.926132,0.928024,1,1,0,8.06082,0.461128
